Crop	Plot	Unique ID	Lentil	Wheat	Rep	Col	Row	Block	BlockRow	BlockCol	Name_SNP	ENV	DTE	DTF	VegP	DTM	RepP	lodging	YLD	PRT	DS
Lentil	1001	2024_1001_L050	L050	W098	1	1	2	1	1	1	11801S-1-54-gr_ACT	Hunter2024	15	44	29	79	35	2	563	26.56	
Lentil	1002	2024_1002_L031	L031	W007	1	2	2	1	1	2	8996-23_ACT	Hunter2024	15	45	30	79	34	2	794.3	25.79	
Lentil	1003	2024_1003_L016	L016	W060	1	3	2	1	1	3	7276-11_ACT	Hunter2024	15	47	32	80	33	3	596.9	25.07	
Lentil	1004	2024_1004_L007	L007	W062	1	4	2	1	1	4	7043-8_ACT	Hunter2024	15	50	35	84	34	2	674	24.9	
Lentil	1005	2024_1005_L071	L071	W009	1	5	2	1	1	5	IBC_1324_ACT	Hunter2024	15	50	35	87	37	2	370.4	25.89	
Lentil	1006	2024_1006_L055	L055	W042	1	6	2	2	1	1	IBC_768_ACT	Hunter2024	15	47	32	86	39	4	536	24.87	
Lentil	1007	2024_1007_L062	L062	W015	1	7	2	2	1	2	IBC_1307_ACT	Hunter2024	15	47	32	85	38	3	639.6	25.91	
Lentil	1008	2024_1008_L027	L027	W064	1	8	2	2	1	3	8579-1-17_ACT	Hunter2024	15	46	31	78	32	2	649	26.64	
Lentil	1009	2024_1009_L003	L003	W023	1	9	2	2	1	4	6991-1_ACT	Hunter2024	15	47	32	85	38	2	954.2	26.86	
Lentil	1010	2024_1010_L024	L024	W039	1	10	2	2	1	5	7789-1_ACT	Hunter2024	15	47	32	86	39	4	513	24.37	
Lentil	1011	2024_1011_L039	L039	W083	1	11	2	3	1	1	9370-2_ACT	Hunter2024	15	46	31	84	38	2	856.3	28.81	
Lentil	1012	2024_1012_L010	L010	W091	1	12	2	3	1	2	7060-25_ACT	Hunter2024	13	52	39	85	33	2	479.2	27.49	
Lentil	1013	2024_1013_L079	L079	W081	1	13	2	3	1	3	IBC_145_ACT	Hunter2024	15	48	33	87	39	4	494.4	24.97	
Lentil	1014	2024_1014_L052	L052	W015	1	14	2	3	1	4	12176T-2-50_ACT	Hunter2024	15	48	33	85	37	4	818.4	24.85	
Lentil	1015	2024_1015_L100	L100	W099	1	15	2	3	1	5	IBC_1269_ACT	Hunter2024	15	47	32	86	39	5	591.3	24.28	
Lentil	1016	2024_1016_L060	L060	W096	1	16	2	4	1	1	IBC_1273-2_ACT	Hunter2024	15	44	29	78	34	3	628	25.74	
Lentil	1017	2024_1017_L069	L069	W083	1	17	2	4	1	2	IBC_1321_ACT	Hunter2024	15	47	32	81	34	2	566.9	26.2	
Lentil	1018	2024_1018_L035	L035	W048	1	18	2	4	1	3	9159-3-1_ACT	Hunter2024	15	46	31	78	32	2	514.4	25.4	
Lentil	1019	2024_1019_L047	L047	W070	1	19	2	4	1	4	10222-3-1_ACT	Hunter2024	15	46	31	84	38	4	455.1	25	
Lentil	1020	2024_1020_L022	L022	W016	1	20	2	4	1	5	7757-1_ACT	Hunter2024	15	50	35	86	36	4	472.3	24.44	
Lentil	1021	2024_1021_L014	L014	W035	1	21	2	5	1	1	7208-15_ACT	Hunter2024	15	50	35	85	35	2	791.4	26.71	
Lentil	1022	2024_1022_CL3	CL3	CW1	1	22	2	5	1	2		Hunter2024	15	50	35	84	34	3	883.2	25.66	
Lentil	1023	2024_1023_L074	L074	W037	1	23	2	5	1	3	2464_ACT	Hunter2024	15	44	29	84	40	4	695.6	27.94	
Lentil	1024	2024_1024_L065	L065	W049	1	24	2	5	1	4	IBC_1314_ACT	Hunter2024	15	49	34	86	37	3	678.1	24.6	
Lentil	1025	2024_1025_CL2	CL2	CW1	1	25	2	5	1	5		Hunter2024	15	49	34	84	35	4	361.7	25.6	
Lentil	1026	2024_1026_L004	L004	W034	1	26	2	6	1	1	6996-1_ACT	Hunter2024	15	47	32	79	32	2	842.7	24.77	
Lentil	1027	2024_1027_L007	L007	W069	1	27	2	6	1	2	7043-8_ACT	Hunter2024	15	50	35	79	29	2	678.3	25.2	
Lentil	1028	2024_1028_L015	L015	W045	1	28	2	6	1	3	7250-4_ACT	Hunter2024	15	47	32	78	31	2	567.8	25.6	
Lentil	1029	2024_1029_L039	L039	W088	1	29	2	6	1	4	9370-2_ACT	Hunter2024	15	45	30	78	33	2	518.9	26.6	
Lentil	1030	2024_1030_L040	L040	W093	1	30	2	6	1	5	9378-1-3_ACT	Hunter2024	15	49	34	78	29	3	446.2	24.92	
Lentil	1031	2024_1031_L030	L030	W098	1	30	3	6	2	5	8666-1-3-bk_ACT	Hunter2024	15	50	35	85	35	2	518.8	24.73	
Lentil	1032	2024_1032_CL1	CL1	CW1	1	29	3	6	2	4		Hunter2024	15	47	32	79	32	4	593.2	25.31	
Lentil	1033	2024_1033_L068	L068	W072	1	28	3	6	2	3	IBC_1320_ACT	Hunter2024	15	51	36	86	35	2	562.5	25.91	
Lentil	1034	2024_1034_L094	L094	W037	1	27	3	6	2	2	IBC_929_ACT	Hunter2024	15	51	36	84	33	4	727.5	25.72	
Lentil	1035	2024_1035_L030	L030	W100	1	26	3	6	2	1	8666-1-3-bk_ACT	Hunter2024	15	49	34	81	32	2	491.9	25.69	
Lentil	1036	2024_1036_L051	L051	W001	1	25	3	5	2	5	12166T-2-57_ACT	Hunter2024	15	47	32	79	32	5	488	25.48	
Lentil	1037	2024_1037_L029	L029	W081	1	24	3	5	2	4	8622-1-1-bk_ACT	Hunter2024	15	50	35	78	28	4	743.1	24.78	
Lentil	1038	2024_1038_L097	L097	W066	1	23	3	5	2	3	IBC_1235_ACT	Hunter2024	15	47	32	86	39	3	997.8	26.11	
Lentil	1039	2024_1039_L028	L028	W076	1	22	3	5	2	2	8619-1-10_ACT	Hunter2024	15	48	33	86	38	4	790.9	26.78	
Lentil	1040	2024_1040_L052	L052	W014	1	21	3	5	2	1	12176T-2-50_ACT	Hunter2024	15	47	32	86	39	4	1081.4	25.56	
