"","Crop","Plot","Range","Unique.ID","Lentil","Wheat","Rep_gen","Facet","Combo","Rep_combo","Type","Col","Row","Block","BlockRow","BlockCol","Name","ENV","Planting.Date..date.","HD","HT","MAT","LD","YLD","Y.ADJ","TWT","KWT","PRO","Notes"
"1","Wheat",3004,4,"3004-CW1","CL1","CW1",1,"CW1","CL1-CW1",2,"Check",4,71,43,4,4,"AAC Schrader","Hunter2025","16-May-25",59,97,104,1,2564,7000,79.6,48.2,12.6,""
"2","Wheat",2759,2,"2759-CW1","CL2","CW1",2,"CW1","CL2-CW1",2,"Check",2,62,37,4,2,"AAC Schrader","Hunter2025","16-May-25",58,101,103,1,2437,6654,78.3,51.4,13,""
"3","Wheat",2051,30,"2051-CW1","CL2","CW1",3,"CW1","CL2-CW1",1,"Check",30,38,24,9,5,"AAC Schrader","Hunter2025","16-May-25",57,95,106,1,2502,6831,78.1,48.4,13.3,""
"4","Wheat",2797,24,"2797-CW1","CL3","CW1",4,"CW1","CL3-CW1",2,"Check",24,64,41,6,4,"AAC Schrader","Hunter2025","16-May-25",59,103,105,1,2717,7417,79.4,48,13.3,""
"5","Wheat",2312,29,"2312-CW1","CL3","CW1",5,"CW1","CL3-CW1",2,"Check",29,47,30,8,4,"AAC Schrader","Hunter2025","16-May-25",59,106,107,1,2984,8147,79.7,47.7,13.4,""
"6","Wheat",1032,29,"1032-CW1","CL1","CW1",6,"CW1","CL1-CW1",1,"Check",29,3,6,2,4,"AAC Schrader","Hunter2025","16-May-25",58,100,106,1,2795,7631,78.5,50,13.5,""
"7","Wheat",2131,30,"2131-CW1","CL1","CW1",7,"CW1","CL1-CW1",2,"Check",30,41,30,2,5,"AAC Schrader","Hunter2025","16-May-25",57,103,106,1,2408,6573,79.5,47.9,13.5,""
"8","Wheat",2769,9,"2769-CW1","CL2","CW1",8,"CW1","CL2-CW1",2,"Check",9,63,38,5,4,"AAC Schrader","Hunter2025","16-May-25",59,102,106,1,2451,6690,79.5,50.4,13.5,""
"9","Wheat",1256,16,"1256-CW1","CL3","CW1",9,"CW1","CL3-CW1",1,"Check",16,10,4,9,1,"AAC Schrader","Hunter2025","16-May-25",59,104,107,1,3105,8477,79.9,50.3,13.7,""
"10","Wheat",3084,24,"3084-CW1","CL2","CW1",10,"CW1","CL2-CW1",2,"Check",24,73,47,6,4,"AAC Schrader","Hunter2025","16-May-25",59,111,107,1,2726,7442,80,48.2,13.7,""
"11","Wheat",2432,29,"2432-CW1","CL3","CW1",11,"CW1","CL3-CW1",2,"Check",29,51,36,3,4,"AAC Schrader","Hunter2025","16-May-25",59,104,107,1,2996,8178,79.2,49.4,13.9,""
"12","Wheat",2792,29,"2792-CW1","CL3","CW1",12,"CW1","CL3-CW1",2,"Check",29,64,42,6,4,"AAC Schrader","Hunter2025","16-May-25",58,100,104,1,2490,6799,78.7,49.8,13.9,""
"13","Wheat",2725,25,"2725-CW1","CL2","CW1",13,"CW1","CL2-CW1",2,"Check",25,61,41,3,5,"AAC Schrader","Hunter2025","16-May-25",58,104,105,1,2855,7794,78.8,50.3,14.1,""
"14","Wheat",2249,29,"2249-CW1","CL2","CW1",14,"CW1","CL2-CW1",2,"Check",29,44,30,5,4,"AAC Schrader","Hunter2025","16-May-25",59,100,107,1,2728,7448,80.2,48.9,14.2,""
"15","Wheat",3083,23,"3083-CW1","CL3","CW1",15,"CW1","CL3-CW1",2,"Check",23,73,47,6,3,"AAC Schrader","Hunter2025","16-May-25",59,105,107,1,2791,7618,79.5,48.7,14.2,""
"16","Wheat",1072,12,"1072-CW1","CL3","CW1",16,"CW1","CL3-CW1",1,"Check",12,4,3,3,2,"AAC Schrader","Hunter2025","16-May-25",59,106,106,1,2858,7802,78.8,49.8,14.3,""
"17","Wheat",2150,11,"2150-CW1","CL2","CW1",17,"CW1","CL2-CW1",2,"Check",11,41,27,2,1,"AAC Schrader","Hunter2025","16-May-25",58,101,104,1,2808,7666,79.7,48.6,14.3,""
"18","Wheat",2645,5,"2645-CW1","CL1","CW1",18,"CW1","CL1-CW1",2,"Check",5,59,37,1,5,"AAC Schrader","Hunter2025","16-May-25",58,100,105,1,2742,7485,79.1,49.8,14.3,""
"19","Wheat",2789,29,"2789-CW1","CL1","CW1",19,"CW1","CL1-CW1",2,"Check",29,63,42,5,4,"AAC Schrader","Hunter2025","16-May-25",58,101,103,1,2592,7076,79.3,47.8,14.3,""
"20","Wheat",2894,14,"2894-CW1","CL1","CW1",20,"CW1","CL1-CW1",2,"Check",14,67,39,9,4,"AAC Schrader","Hunter2025","16-May-25",59,96,106,3,2945,8041,79.6,50.8,14.3,""
"21","Wheat",1056,5,"1056-CW1","CL1","CW1",21,"CW1","CL1-CW1",1,"Check",5,3,1,2,5,"AAC Schrader","Hunter2025","16-May-25",56,72,104,1,2333,6369,78.6,51.1,14.4,""
"22","Wheat",1614,14,"1614-CW1","CL2","CW1",22,"CW1","CL2-CW1",1,"Check",14,23,15,3,4,"AAC Schrader","Hunter2025","16-May-25",58,107,107,5,3240,8846,79.3,49.1,14.4,""
