"","Previous_Crop_Genotype","Facet_Mean","N_Wheat_Partners","Observed_Yield_BLUP","Environment","Legacy_Value","Legacy_Pct"
"1","L081",5232.67394237399,10,5549.08744249233,"Hunter2025",316.413500118336,6.04687973305639
"2","L067",5471.50346254009,10,5777.14146496799,"Hunter2025",305.638002427895,5.58599669214146
"3","L074",5303.22128711148,10,5562.17215916537,"Hunter2025",258.950872053888,4.8828977339343
"4","L012",5446.26369323298,10,5687.20505267075,"Hunter2025",240.941359437778,4.42397527936721
"5","L073",5265.75146973579,10,5489.07396390352,"Hunter2025",223.322494167737,4.24103749391239
"6","L015",5536.97042691828,10,5757.10387167917,"Hunter2025",220.133444760894,3.97570201369875
"7","L023",5265.75146973579,10,5464.05468284827,"Hunter2025",198.30321311248,3.76590528915392
"8","L009",6280.83658325154,10,6477.91980520929,"Hunter2025",197.083221957741,3.13784986037183
"9","L057",5471.50346254009,10,5664.20306306805,"Hunter2025",192.699600527955,3.52187660754027
"10","L004",5303.22128711148,10,5491.96832507488,"Hunter2025",188.7470379634,3.55910168074855
"11","L083",5265.75146973579,10,5452.50497398972,"Hunter2025",186.753504253933,3.54656890526023
"12","L043",5265.75146973579,10,5448.74173325714,"Hunter2025",182.990263521355,3.47510254847893
"13","L078",6015.34242391094,10,6194.72477854902,"Hunter2025",179.382354638076,2.9820805200554
"14","CL3",6938.31169233495,1,7110.13256214002,"Hunter2025",171.820869805065,2.47640748101419
"15","L002",5446.26369323298,10,5613.49569259448,"Hunter2025",167.2319993615,3.07058212347094
"16","L072",5446.26369323298,10,5611.60813360828,"Hunter2025",165.344440375305,3.03592425355288
"17","L005",5536.97042691828,10,5690.53590976568,"Hunter2025",153.565482847402,2.77345680050655
"18","L076",5520.34305649405,10,5667.10559228587,"Hunter2025",146.762535791824,2.65857636545205
"19","L006",5520.34305649405,10,5664.43435874655,"Hunter2025",144.091302252507,2.61018746077747
"20","L059",6280.83658325154,10,6423.58202903447,"Hunter2025",142.745445782925,2.27271389552739
"21","L008",6015.34242391094,10,6147.45141025105,"Hunter2025",132.108986340105,2.19620059890477
"22","L041",5232.67394237399,10,5352.10295015621,"Hunter2025",119.42900778222,2.28237052599605
"23","L075",5536.97042691828,10,5650.38534465968,"Hunter2025",113.4149177414,2.04832081439387
"24","L084",5303.22128711148,10,5413.19386390017,"Hunter2025",109.972576788692,2.07369390856762
"25","L045",5536.97042691828,10,5645.42215088791,"Hunter2025",108.451723969636,1.9586834605869
"26","L051",5232.67394237399,10,5332.03731203854,"Hunter2025",99.3633696645475,1.89890237302781
"27","L079",6280.83658325154,10,6374.26774132203,"Hunter2025",93.4311580704843,1.48755913057231
"28","L085",5536.97042691828,10,5615.1708471312,"Hunter2025",78.2004202129274,1.4123322716833
"29","L038",6015.34242391094,10,6091.9074763704,"Hunter2025",76.5650524594566,1.27282949271701
"30","L021",5232.67394237399,10,5305.33238678977,"Hunter2025",72.6584444157761,1.38855287403618
"31","L022",5446.26369323298,10,5515.6642423551,"Hunter2025",69.4005491221287,1.27427816630251
"32","L001",5232.67394237399,10,5301.12794575521,"Hunter2025",68.4540033812191,1.30820311250203
"33","L061",5232.67394237399,10,5295.92012425129,"Hunter2025",63.246181877299,1.20867805970355
"34","L010",6372.81130637552,10,6435.57058446167,"Hunter2025",62.759278086146,0.984797369151037
"35","L036",5520.34305649405,10,5574.57186158141,"Hunter2025",54.2288050873685,0.982344838579816
"36","L003",5265.75146973579,10,5312.8996476758,"Hunter2025",47.1481779400092,0.895374159053786
"37","L026",5520.34305649405,10,5566.55374021044,"Hunter2025",46.210683716391,0.837098043427382
"38","L050",6372.81130637552,10,6417.19868568637,"Hunter2025",44.3873793108478,0.696511746180865
"39","L053",5265.75146973579,10,5307.28853381863,"Hunter2025",41.5370640828469,0.788815505660981
"40","L097",5471.50346254009,10,5512.82830298529,"Hunter2025",41.3248404451942,0.755273952180039
"41","L016",5520.34305649405,10,5561.21177277056,"Hunter2025",40.8687162765182,0.740329284942552
"42","L060",6372.81130637552,10,6412.31048574123,"Hunter2025",39.4991793657064,0.619807765627555
"43","L033",5265.75146973579,10,5298.21558522986,"Hunter2025",32.4641154940782,0.616514388889439
"44","L031",5232.67394237399,10,5263.91643612504,"Hunter2025",31.2424937510514,0.597065555681787
"45","L094",5303.22128711148,10,5333.08939583948,"Hunter2025",29.8681087280011,0.563206909743519
"46","L063",5265.75146973579,10,5288.09963635312,"Hunter2025",22.3481666173384,0.424406027245713
"47","L071",5232.67394237399,10,5254.19813554812,"Hunter2025",21.5241931741257,0.411342143828676
"48","L077",5471.50346254009,10,5492.42135970699,"Hunter2025",20.917897166898,0.382306203589371
"49","L046",5520.34305649405,10,5540.21355189103,"Hunter2025",19.8704953969791,0.359950372533529
"50","L100",6372.81130637552,10,6392.61008927626,"Hunter2025",19.7987829007398,0.310675806153754
